City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Najran,SA,17.4924,44.1277,61.45,22,37,2.59,scattered clouds
1,Chapais,CA,49.7834,-74.8492,49.78,89,100,12.8,light rain
2,Atuona,PF,-9.8,-139.0333,77.25,78,14,20.67,few clouds
3,Jamestown,US,42.097,-79.2353,63.99,56,100,19.57,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,69.21,62,0,15.3,clear sky
5,Basco,PH,20.4487,121.9702,81.09,83,64,27.63,broken clouds
6,Vaini,TO,-21.2,-175.2,80.76,74,20,10.36,few clouds
7,Hilo,US,19.7297,-155.09,84.27,83,0,6.91,clear sky
8,Butaritari,KI,3.0707,172.7902,82.27,75,5,20.27,clear sky
9,Thompson,CA,55.7435,-97.8558,33.96,93,100,19.57,overcast clouds
10,Port Elizabeth,ZA,-33.918,25.5701,66.49,97,100,3.0,overcast clouds
11,Nikolskoye,RU,59.7035,30.7861,37.29,88,51,4.16,broken clouds
12,Chuy,UY,-33.6971,-53.4616,55.74,74,0,9.84,clear sky
13,Mataura,NZ,-46.1927,168.8643,57.31,43,3,4.81,clear sky
14,Talnakh,RU,69.4865,88.3972,31.21,90,98,5.84,overcast clouds
15,Titusville,US,28.6122,-80.8075,81.09,84,40,3.44,scattered clouds
16,Thurso,GB,58.5927,-3.5259,47.86,82,60,12.06,broken clouds
17,Saposoa,PE,-6.934,-76.7716,78.26,68,96,2.51,overcast clouds
18,Hobart,AU,-42.8794,147.3294,63.05,83,100,13.8,overcast clouds
19,Takoradi,GH,4.8845,-1.7554,75.25,90,100,5.06,light rain
20,Hofn,IS,64.2539,-15.2082,41.05,53,85,6.55,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,63.0,91,100,1.52,overcast clouds
22,La Cruz,MX,23.9167,-106.9,75.31,72,5,7.56,clear sky
23,Vardo,NO,70.3705,31.1107,37.38,81,75,14.97,broken clouds
24,Poddorye,RU,57.4695,31.1156,36.55,92,16,4.34,few clouds
25,Bardiyah,LY,31.7561,25.0865,70.45,81,0,7.85,clear sky
26,Kununurra,AU,-15.7667,128.7333,102.18,24,8,5.75,clear sky
27,Davidson,US,36.1501,-86.7833,62.2,84,100,10.36,overcast clouds
28,Hun,LY,29.1268,15.9477,74.91,30,1,7.14,clear sky
29,Avarua,CK,-21.2078,-159.775,78.85,78,75,17.27,broken clouds
30,Aleksandrov Gay,RU,50.147,48.5704,50.5,85,90,13.82,overcast clouds
31,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,8.05,scattered clouds
32,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.63,27,17,3.09,few clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,81.7,56,1,9.48,clear sky
34,Hermanus,ZA,-34.4187,19.2345,63.81,90,95,3.51,overcast clouds
35,Puerto Ayacucho,VE,5.6639,-67.6236,74.64,94,100,4.18,overcast clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,66.54,89,10,1.99,clear sky
37,Jiuquan,CN,39.7432,98.5174,52.12,31,92,9.73,overcast clouds
38,Egvekinot,RU,66.3167,-179.1667,15.73,71,17,3.29,few clouds
39,Khatanga,RU,71.9667,102.5,23.65,96,95,6.64,overcast clouds
40,Dingle,PH,10.9995,122.6711,85.46,74,100,10.6,overcast clouds
